,stream_temp,exp_temp,mass,feeding,Exp_Temp_K,feeding_new,log_feeding,mass_g,x1,x2,log_mass_feed,lnmass,feed_mass,new_feed,lnIEkt,Temps,En_Eff,Log_Eneff,Log_Eneff_Mass,En_Mass,stream_temp_fact
0,14.4,5.2,0.014726638,0.019827812,278.34999999999997,0.019827812,-3.9206696804100143,1.4726638e-05,-1.764293438035472,41.69039737926906,-0.7570966932282639,-4.218097316242334,0.4690261790478767,0.4690261790478767,-18.12693029769936,1,0.08316934917585053,-2.486876398359397,8.781121189247715,6.640704357147063e-08,tepid
1,14.4,5.2,0.025781292,0.017679171,278.34999999999997,0.017679171,-4.035368112012241,2.5781292e-05,-1.764293438035472,41.69039737926906,-1.291788487244041,-3.6581061663576007,0.2747789047956801,0.2747789047956801,-18.241628729301585,1,0.07415670201223265,-2.6015748299616237,6.986449307991287,3.1769066150988244e-07,tepid
2,14.4,5.2,0.028128634,0.00614436,278.34999999999997,0.00614436,-5.0922206911033125,2.8128634e-05,-1.764293438035472,41.69039737926906,-2.4139952776667526,-3.5709672179154133,0.08945717340482941,0.08945717340482941,-19.29848130839266,1,0.025773011278406765,-3.6584274090526954,5.6681798835736545,1.4340064313066225e-07,tepid
3,14.4,5.2,0.036804342000000004,0.001281646,278.34999999999997,0.001281646,-6.659610089660097,3.6804342000000004e-05,-1.764293438035472,41.69039737926906,-4.1830055009323575,-3.302139451636987,0.015252596914783033,0.015252596914783033,-20.865870706949444,1,0.00537596703528519,-5.22581680760948,3.29430718618159,6.700292755627035e-08,tepid
4,14.4,5.2,0.041544968,0.028761636,278.34999999999997,0.028761636,-3.548712863185265,4.1544968e-05,-1.764293438035472,41.69039737926906,-1.1629787090993027,-3.1809788721146166,0.31255378609892326,0.31255378609892326,-17.75497348047461,1,0.12064299113551778,-2.1149195811346475,6.041722674089311,2.162705532776268e-06,tepid
5,14.4,8.5,0.010901761999999999,0.017000653,281.65,0.017000653,-4.074503523898928,1.0901761999999999e-05,-1.2758208253900314,41.20192476662362,-0.6853803853226268,-4.518830851435069,0.5038985175147542,0.5038985175147542,-18.114314078922856,1,0.045387327816792014,-3.092522335875053,9.077675857310261,1.4701603737840897e-08,tepid
7,14.4,8.5,0.024544213,0.02457744,281.65,0.02457744,-3.705926329983422,2.4544213e-05,-1.2758208253900314,41.20192476662362,-0.9254669483262465,-3.7072791755429004,0.3963463026158256,0.3963463026158256,-17.74573688500735,1,0.06561538113727376,-2.7239451419595473,7.011598023549264,2.425453752333774e-07,tepid
8,14.4,8.5,0.038101523,0.021071762,281.65,0.021071762,-3.859821428653956,3.8101523e-05,-1.2758208253900314,41.20192476662362,-1.4091956607326086,-3.26750102389513,0.24433973617979746,0.24433973617979746,-17.899631983677885,1,0.056256131430446873,-2.877840240630081,5.538368469935419,7.779234791641893e-07,tepid
9,14.4,8.5,0.035395746,0.002525596,281.65,0.002525596,-5.981278204503818,3.5395745999999996e-05,-1.2758208253900314,41.20192476662362,-3.475405477837669,-3.3411636355548655,0.030949282030656822,0.030949282030656822,-20.021088759527746,1,0.0067426853300740055,-4.999297016479943,3.637899529064763,7.475256698981156e-08,tepid
10,14.4,13.1,0.009928908,0.00904691,286.25,0.00904691,-4.705332016037092,9.928908000000001e-06,-0.6137112920224521,40.53981523325604,-1.2461034334665697,-4.612304776760696,0.28762335972533287,0.28762335972533287,-18.51952465471828,1,0.013893321899166925,-4.276346993202097,8.1742729759601,3.3997780576929458e-09,tepid
