stream,stream_temp,exp_temp,acclimation,length,mass,date_in,time_in,date_out,time_out,duration,feeding
5,14.4,5.2,inter,0.486,0.014726638,26/06/2017,18:40,26/06/2017,21:40,3,0.019827812
5,14.4,5.2,inter,0.6,0.025781292,26/06/2017,18:40,26/06/2017,21:40,3,0.017679171
5,14.4,5.2,inter,0.62,0.028128634,26/06/2017,18:40,26/06/2017,21:40,3,0.00614436
5,14.4,5.2,inter,0.686,0.036804342,26/06/2017,18:40,26/06/2017,21:40,3,0.001281646
5,14.4,5.2,inter,0.718,0.041544968,26/06/2017,18:40,26/06/2017,21:40,3,0.028761636
5,14.4,8.5,inter,0.434,0.010901762,26/06/2017,17:40,26/06/2017,20:40,3,0.017000653
5,14.4,8.5,inter,0.494,0.015379673,26/06/2017,17:40,26/06/2017,20:40,3,-0.000640823
5,14.4,8.5,inter,0.589,0.024544213,26/06/2017,17:40,26/06/2017,20:40,3,0.02457744
5,14.4,8.5,inter,0.695,0.038101523,26/06/2017,17:40,26/06/2017,20:40,3,0.021071762
5,14.4,8.5,inter,0.676,0.035395746,26/06/2017,17:40,26/06/2017,20:40,3,0.002525596
5,14.4,13.1,inter,0.419,0.009928908,26/06/2017,19:00,26/06/2017,22:00,3,0.00904691
5,14.4,13.1,inter,0.588,0.024433628,26/06/2017,19:00,26/06/2017,22:00,3,0.038675542
5,14.4,13.1,inter,0.617,0.02776838,26/06/2017,19:00,26/06/2017,22:00,3,0.025557522
5,14.4,13.1,inter,0.725,0.042630063,26/06/2017,19:00,26/06/2017,22:00,3,0.027819249
5,14.4,13.1,inter,0.717,0.041391377,26/06/2017,19:00,26/06/2017,22:00,3,-0.005541233
5,14.4,18,inter,0.408,0.009251179,26/06/2017,18:00,26/06/2017,21:00,3,0.019224684
5,14.4,18,inter,0.529,0.01844808,26/06/2017,18:00,26/06/2017,21:00,3,0.033134309
5,14.4,18,inter,0.61,0.026939018,26/06/2017,18:00,26/06/2017,21:00,3,-0.009159997
5,14.4,18,inter,0.743,0.045500953,26/06/2017,18:00,26/06/2017,21:00,3,0.028610854
5,14.4,18,inter,0.681,0.036095758,26/06/2017,18:00,26/06/2017,21:00,3,-0.034378259
5,14.4,20,inter,0.455,0.012360414,26/06/2017,19:20,26/06/2017,22:20,3,0.002751768
5,14.4,20,inter,0.507,0.01647883,26/06/2017,19:20,26/06/2017,22:20,3,0.043010519
5,14.4,20,inter,0.616,0.027648939,26/06/2017,19:20,26/06/2017,22:20,3,0.044480642
5,14.4,20,inter,0.702,0.039129887,26/06/2017,19:20,26/06/2017,22:20,3,0.045837679
5,14.4,20,inter,0.804,0.056115866,26/06/2017,19:20,26/06/2017,22:20,3,-0.000753909
5,14.4,24.5,inter,0.447,0.011791253,26/06/2017,18:20,26/06/2017,21:20,3,0.042897433
5,14.4,24.5,inter,0.553,0.020756769,26/06/2017,18:20,26/06/2017,21:20,3,0.045724593
5,14.4,24.5,inter,0.643,0.030987631,26/06/2017,18:20,26/06/2017,21:20,3,0.046855457
5,14.4,24.5,inter,0.742,0.045338391,26/06/2017,18:20,26/06/2017,21:20,3,0.04674237
5,14.4,24.5,inter,0.681,0.036095758,26/06/2017,18:20,26/06/2017,21:20,3,0.046063852
5,14.4,27.5,inter,0.421,0.010055355,26/06/2017,19:40,26/06/2017,22:40,3,0.026198345
5,14.4,27.5,inter,0.493,0.015297075,26/06/2017,19:40,26/06/2017,22:40,3,0.054243767
5,14.4,27.5,inter,0.639,0.030477985,26/06/2017,19:40,26/06/2017,22:40,3,0.054243767
5,14.4,27.5,inter,0.729,0.043257969,26/06/2017,19:40,26/06/2017,22:40,3,0.026763776
5,14.4,27.5,inter,0.725,0.042630063,26/06/2017,19:40,26/06/2017,22:40,3,0.054017594
8,19.3,5.2,warm,0.402,0.008894027,26/06/2017,18:40,26/06/2017,21:40,3,0.015643616
8,19.3,5.2,warm,0.497,0.015629131,26/06/2017,18:40,26/06/2017,21:40,3,0.011007074
8,19.3,5.2,warm,0.439,0.011238729,26/06/2017,18:40,26/06/2017,21:40,3,-0.010705511
8,19.3,5.2,warm,0.567,0.022182715,26/06/2017,18:40,26/06/2017,21:40,3,0.029779413
